p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,keyword,type,brand,X_type,X_name,capacitysource
海信（Hisense） 2匹 二级能效 定速 冷暖 圆柱艺术化 空调柜机（KFR-50LW/85F-N2(2N14)）,海信空调自营旗舰店,2317459,4799.00,3999.00,3800,98,3700,20,50,送货快 机器漂亮 服务很好 安装速度 空调质量好 制冷效果好 声音小 外机噪音小 制冷速度快 制冷比较快,海信（Hisense） 海信KFR-50LW/85F-N2(2N14) 2317459 31.5kg 中国大陆 定频 冷暖空调 圆柱式空调，高能效空调，自动清洁 白色 2匹 二级能效 20-30㎡ 立柜式空调,海信,定频,海信KFR-50LW/85F-N2(2N14),
格力（GREE）3匹 二级能效 臻净爽 变频冷暖 圆柱柜机 微联智能 KFR-72LW/NhIbB2W,格力官方旗舰店,4203861,10699.00,10499.00,2900,99,2800,9,40,服务很好 机器漂亮 安装速度 送货快 空调质量好 制冷效果好 变频省电 声音小 制冷比较快 外机噪音小,格力（GREE） 格力KFR-72LW/NhIbB2W 4203861 42.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 其他 3匹 二级能效 30-40㎡ 立柜式空调,格力,变频,格力KFR-72LW/NhIbB2W,
海尔（Haier）3匹 定频 冷暖 APP智能操控 快速制冷 大风量 立式空调柜机 KFR-72LW/09JAA13套机,海尔官方旗舰店,4706618,6599.00,5499.00,1000,97,1000,8,20,安装速度 送货快 空调质量好 服务很好 机器漂亮 制冷效果好 制冷速度快 制冷比较快 制冷制热快 外机噪音小,海尔（Haier） 海尔KFR-72LW/09JAA13套机 4706618 53.0kg 中国大陆 定频 冷暖空调 智能空调，静音空调 白色有花纹 3匹 三级能效 30-40㎡ 立柜式空调,海尔,定频,海尔KFR-72LW/09JAA13套机,
长虹(CHANGHONG)2匹 变频 一级能效 智能圆柱式空调 京东微联APP控制KFR-51LW/DAW1+A1,长虹官方自营旗舰店,2323043,5199.00,4699.00,14000,97,14000,100,200,送货快 服务很好 机器漂亮 安装速度 变频省电 声音小 空调质量好 外机噪音小 制冷效果好 制冷速度快,长虹（CHANGHONG） 长虹KFR-51LW/DAW1+A1 2323043 71.0kg 中国大陆 变频 冷暖空调 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，全直流变频，自动清洁 白色 2匹 一级能效 20-30㎡ 立柜式空调,长虹,变频,长虹KFR-51LW/DAW1+A1,
TCL 大3匹 定速 冷暖 空调柜机（KFRd-72LW/FC23）,TCL空调自营旗舰店,915143,5199.00,4499.00,17000,97,17000,100,300,服务很好 送货快 安装速度 空调质量好 制冷效果好 机器漂亮 制冷速度快 制冷比较快 声音小 制冷制热快,TCL TCLKFRd-72LW/FC23 915143 49.0kg 中国大陆 定频 冷暖空调 静音空调，自动清洁 白色 3匹 三级能效 30-40㎡ 立柜式空调,TCL,定频,TCLKFRd-72LW/FC23,
奥克斯（AUX）3匹 一级能效 变频冷暖 智能 倾国空调柜机 京东微联APP控制(KFR-72LW/BpNHA1+1) (炫棕金),奥克斯空调自营旗舰店,3849274,8499.00,7599.00,3200,98,3100,10,30,送货快 服务很好 机器漂亮 安装速度 变频省电 制冷速度快 制冷效果好 空调质量好 制冷比较快 外机噪音小,奥克斯（AUX） 奥克斯KFR-72LW/BpNHA1+1 3849274 44.0kg 中国大陆 变频 冷暖空调 0元安装，圆柱式空调，高能效空调，智能空调，变频空调，自动清洁 金色 3匹 一级能效 30-40㎡ 立柜式空调,奥克斯,变频,奥克斯KFR-72LW/BpNHA1+1,
海尔（Haier）3匹 变频 冷暖 APP智能操控 快速制冷  大风量 立式空调柜机KFR-72LW/03JAA23A套机,海尔官方旗舰店,4706604,7799.00,7499.00,300,98,200,1,6,制冷速度快 安装速度 制冷效果好 服务很好 变频省电 送货快 外机噪音小 机器漂亮 制冷比较快 声音小,海尔（Haier） 海尔KFR-72LW/03JAA23A套机 4706604 51.0kg 中国大陆 变频 变频空调 冷暖空调 3匹 三级能效 30-40㎡ 立柜式空调,海尔,变频,海尔KFR-72LW/03JAA23A套机,
美的（Midea） 大2匹/大3匹 定速定频柜机冷静星空调 大3匹KFR-72LW/DY-PA400(D3),美的空调衡阳运为专卖店,11545123864,6099.00,5299.00,2,100,2,0,0,,美的（Midea） 美的（Midea） 大2匹/大3匹 定速定频柜机冷静星空调 大3匹KFR-72LW/DY-PA400(D3) 11545123864 美的空调衡阳运为专卖店 91.0kg 中国大陆 定频 冷暖空调 自动清洁 白色 2匹 三级能效 20-30㎡ 立柜式空调,美的,定频,美的（Midea） 大2匹/大3匹 定速定频柜机冷静星空调 大3匹KFR-72LW/DY-PA400(D3),
美的（Midea） 智能变频冷暖空调柜机 大2匹KFR-51LW/WPBA3@,美的空调美程专卖店,11252942372,6399.00,4899.00,1,100,1,0,0,,美的（Midea） 美的（Midea） 智能变频冷暖空调柜机 大2匹KFR-51LW/WPBA3@ 11252942372 美的空调美程专卖店 99.0kg 中国大陆 变频 冷暖空调 变频空调 其他 2匹 三级能效 20-30㎡ 立柜式空调,美的,变频,美的（Midea） 智能变频冷暖空调柜机 大2匹KFR-51LW/WPBA3@,
奥克斯（AUX） NSP系列定频空调 柜机 冷暖除湿 远距送风 升降面板 触摸LED KFR-51LW/NSP1+3 2匹,奥克斯空调旗舰店,11989264375,4999.00,3399.00,400,96,400,6,10,安装速度 送货快 服务很好 空调质量好 制冷制热快 制冷效果好 制冷比较快 机器漂亮 声音小 外机噪音小,奥克斯（AUX） 奥克斯（AUX） NSP系列定频空调 柜机 冷暖除湿 远距送风 升降面板 触摸LED KFR-51LW/NSP1+3 2匹 11989264375 奥克斯空调旗舰店 50.0kg KFR-51LW/NSP1+3 定频 冷暖空调 白色 2匹 三级能效 20-30㎡ 立柜式空调,奥克斯,定频,奥克斯（AUX） NSP系列定频空调 柜机 冷暖除湿 远距送风 升降面板 触摸LED KFR-51LW/NSP1+3 2匹,
Haier/海尔 KFR-50LW/08EAC13(茉莉白)立柜式大2匹帝樽冷暖空调 茉莉白,海尔美尚专卖店,12461426718,5599.00,4999.00,1,100,1,0,0,,海尔（Haier） Haier/海尔 KFR-50LW/08EAC13(茉莉白)立柜式大2匹帝樽冷暖空调 茉莉白 12461426718 海尔美尚专卖店 41.0kg 中国大陆 KFR-50LW/08EAC13 定频 冷暖空调 静音空调 白色 2匹 三级能效 20-30㎡ 立柜式空调,海尔,定频,Haier/海尔 KFR-50LW/08EAC13(茉莉白)立柜式大2匹帝樽冷暖空调 茉莉白,
美的（Midea）2匹空调柜机变频冷暖冷静星 陶瓷白 KFR-51LW/BP2DN1Y-PA400,美的空调广东京美专卖店,15126250485,6999.00,5399.00,0,100,0,0,0,,美的 美的（Midea）2匹空调柜机变频冷暖冷静星 陶瓷白 KFR-51LW/BP2DN1Y-PA400 15126250485 美的空调广东京美专卖店 49.0kg 中国大陆 KFR-51LW/BP2DN1Y-PA400(B3) 变频 冷暖空调 变频空调 白色 2匹 三级能效 20-30㎡ 立柜式空调,美的,变频,美的（Midea）2匹空调柜机变频冷暖冷静星 陶瓷白 KFR-51LW/BP2DN1Y-PA400,
美的 （Midea）3匹 制冷王 超一级能效 变频冷暖 智能WiFi圆柱柜机 KFR-51LW/BP3DN8Y-YB300（B1,美的空调北京邓氏专卖店,12318111901,13599.00,8999.00,6,100,6,0,0,,美的 美的 （Midea）3匹 制冷王 超一级能效 变频冷暖 智能WiFi圆柱柜机 KFR-51LW/BP3DN8Y-YB300（B1 12318111901 美的空调北京邓氏专卖店 84.0kg 变频 冷暖空调 0元安装，圆柱式空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,美的,变频,美的 （Midea）3匹 制冷王 超一级能效 变频冷暖 智能WiFi圆柱柜机 KFR-51LW/BP3DN8Y-YB300（B1,
美的(Midea)2匹/3匹 直流变频变速空调柜机 立柜式空调 三级能效　风骏 红色,美的北京世纪广美专卖店,13132440192,7399.00,7399.00,0,100,0,0,0,,美的（Midea） 美的(Midea)2匹/3匹 直流变频变速空调柜机 立柜式空调 三级能效　风骏 红色 13132440192 美的北京世纪广美专卖店 45.0kg 变频 冷暖空调 其他 2匹 三级能效 30-40㎡ 立柜式空调,美的,变频,美的(Midea)2匹/3匹 直流变频变速空调柜机 立柜式空调 三级能效　风骏 红色,
奥克斯（AUX）KFR-72LW/R1YH700+2 二级能效 定速冷暖立式圆柱式空调柜机 白色,时尚电器专营店,18602962729,5288.00,5199.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX）KFR-72LW/R1YH700+2 二级能效 定速冷暖立式圆柱式空调柜机 白色 18602962729 时尚电器专营店 60.0kg 中国大陆 151731 定频 冷暖空调 白色 3匹 二级能效 30-40㎡ 立柜式空调,奥克斯,定频,奥克斯（AUX）KFR-72LW/R1YH700+2 二级能效 定速冷暖立式圆柱式空调柜机 白色,
奥克斯（AUX） KFR-120LW/N3+3C 5匹 冷暖定频 自动水洗 立柜式空调柜机 白色,时尚电器专营店,18603277887,7999.00,7599.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX） KFR-120LW/N3+3C 5匹 冷暖定频 自动水洗 立柜式空调柜机 白色 18603277887 时尚电器专营店 100.0kg 中国大陆 138620 定频 冷暖空调 白色 5匹及以上 三级能效 40㎡以上 立柜式空调,奥克斯,定频,奥克斯（AUX） KFR-120LW/N3+3C 5匹 冷暖定频 自动水洗 立柜式空调柜机 白色,
奥克斯（AUX） 奥克斯AUX倾城 二级能效 定频冷暖 WIFI智能 圆柱立式空调 柜机 定频2匹KFR-51LW/R1AHA700+2,诚信达民电器专营店,16386125674,6999.00,4599.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX） 奥克斯AUX倾城 二级能效 定频冷暖 WIFI智能 圆柱立式空调 柜机 定频2匹KFR-51LW/R1AHA700+2 16386125674 诚信达民电器专营店 35.0kg 中国大陆 定频 冷暖空调 白色 2匹 二级能效 20-30㎡ 立柜式空调,奥克斯,定频,奥克斯（AUX） 奥克斯AUX倾城 二级能效 定频冷暖 WIFI智能 圆柱立式空调 柜机 定频2匹KFR-51LW/R1AHA700+2,
奥克斯（AUX） 变频空调 二级能效 冷暖立柜式空调柜机 3P 雪龙2号 1,奥克斯空调北京华奥专卖店,13486691127,7999.00,7399.00,0,100,0,0,0,,奥克斯（AUX） 奥克斯（AUX） 变频空调 二级能效 冷暖立柜式空调柜机 3P 雪龙2号 1 13486691127 奥克斯空调北京华奥专卖店 102.0kg 中国大陆 KFR-72LW/BPYC700(A2)a 变频 冷暖空调 3匹 30-40㎡ 立柜式空调,奥克斯,变频,奥克斯（AUX） 变频空调 二级能效 冷暖立柜式空调柜机 3P 雪龙2号 1,
TCL 大2匹 立柜式电辅型定频家用冷暖空调（白色） KFRd-51LW/FC13,TCL空调旗舰店,1128134363,3799.00,3099.00,900,91,800,20,50,安装速度 服务很好 制冷效果好 送货快 机器漂亮 空调质量好 制冷制热快 制冷速度快 制冷比较快 声音小,TCL TCL 大2匹 立柜式电辅型定频家用冷暖空调（白色） KFRd-51LW/FC13 1128134363 TCL空调旗舰店 47.0kg 定频 冷暖空调 静音空调 白色 2匹 三级能效 20-30㎡ 立柜式空调,TCL,定频,TCL 大2匹 立柜式电辅型定频家用冷暖空调（白色） KFRd-51LW/FC13,
TCL 3匹 智能 变频二级能效 冷暖圆柱 空调柜机 KFRd-72LW/DY22BpA,TCL空调酷友专卖店,1508574936,8399.00,6199.00,90,98,90,0,2,服务很好 声音小 送货快 外机噪音小 空调质量好 变频省电 制冷效果好 制冷比较快 机器漂亮 制冷速度快,TCL TCL 3匹 智能 变频二级能效 冷暖圆柱 空调柜机 KFRd-72LW/DY22BpA 1508574936 TCL空调酷友专卖店 34.0kg 变频 冷暖空调 高能效空调 金色 3匹 二级能效 30-40㎡ 立柜式空调,TCL,变频,TCL 3匹 智能 变频二级能效 冷暖圆柱 空调柜机 KFRd-72LW/DY22BpA,
海尔（Haier） 空调3匹立柜式智能空调柜机变频KFR-72LW/06BAA21AU1,海尔江苏隆盛专卖店,19386396986,13499.00,12499.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier） 空调3匹立柜式智能空调柜机变频KFR-72LW/06BAA21AU1 19386396986 海尔江苏隆盛专卖店 100.0kg 中国大陆 变频 冷暖空调 3匹 30-40㎡ 立柜式空调,海尔,变频,海尔（Haier） 空调3匹立柜式智能空调柜机变频KFR-72LW/06BAA21AU1,
海尔（Haier） KFR-72LW/03GCB21AU1 3匹变频自清洁圆柱家用空调柜 白色,海尔山东双龙海专卖店,19484218880,8499.00,7999.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier） KFR-72LW/03GCB21AU1 3匹变频自清洁圆柱家用空调柜 白色 19484218880 海尔山东双龙海专卖店 93.0kg 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 单冷空调 3匹 30-40㎡ 立柜式空调,海尔,变频,海尔（Haier） KFR-72LW/03GCB21AU1 3匹变频自清洁圆柱家用空调柜 白色,
海尔（Haier） 3匹 变频冷暖天樽立柜式空调柜机SKFR-72LW/11WDA22A 三匹,海尔上海之升专卖店,17247401491,9999.00,8299.00,5,100,5,0,0,制冷速度快 送货快 声音小 服务很好 制热效果好,海尔（Haier） 海尔（Haier） 3匹 变频冷暖天樽立柜式空调柜机SKFR-72LW/11WDA22A 三匹 17247401491 海尔上海之升专卖店 110.0kg 变频 冷暖空调 白色 3匹 二级能效 30-40㎡，40㎡以上 立柜式空调,海尔,变频,海尔（Haier） 3匹 变频冷暖天樽立柜式空调柜机SKFR-72LW/11WDA22A 三匹,
海尔（Haier） KFR-72LW/09FBA21AU1 3匹 冷暖变频圆柱立柜式空调,海尔电器专卖店,12160304194,12999.00,12999.00,1,100,1,0,0,,海尔（Haier） 海尔（Haier） KFR-72LW/09FBA21AU1 3匹 冷暖变频圆柱立柜式空调 12160304194 海尔电器专卖店 39.0kg 中国大陆 变频 冷暖空调 3匹 一级能效 30-40㎡ 立柜式空调,海尔,变频,海尔（Haier） KFR-72LW/09FBA21AU1 3匹 冷暖变频圆柱立柜式空调,
海尔（haier）  KFR-50LW/07DBC21AU1 2匹智能变频空调,海尔长春盛恒丰专卖店,16803582803,9599.00,8599.00,0,100,0,0,0,,海尔（haier） 海尔（haier）  KFR-50LW/07DBC21AU1 2匹智能变频空调 16803582803 海尔长春盛恒丰专卖店 46.0kg KFR-50LW/07DBC21AU1 变频 冷暖空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,海尔,变频,海尔（haier）  KFR-50LW/07DBC21AU1 2匹智能变频空调,
Haier/海尔冷暖立式2/3匹变频节能静音空调 2匹/SKFR-50LW/10WBC21AU1,海尔和韵成专卖店,12204026930,14999.00,9999.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier）KFR-72LW/07DBC21AU1 12204026930 海尔和韵成专卖店 116.0kg 中国大陆 变频 冷暖空调 变频空调 金色 2匹 一级能效 30-40㎡ 立柜式空调,海尔,变频,海尔（Haier）KFR-72LW/07DBC21AU1,
海尔(Haier)2匹 一级能效 家用 空调 立式 圆柱 无氟变频柜机 智能APP控制 白色,海尔格欣专卖店,17814158645,8999.00,7199.00,0,100,0,0,0,,海尔（Haier） 海尔(Haier)2匹 一级能效 家用 空调 立式 圆柱 无氟变频柜机 智能APP控制 白色 17814158645 海尔格欣专卖店 50.0kg 中国大陆 变频 冷暖空调 圆柱式空调，自动清洁 白色 2匹 一级能效 20-30㎡ 立柜式空调,海尔,变频,海尔(Haier)2匹 一级能效 家用 空调 立式 圆柱 无氟变频柜机 智能APP控制 白色,
海尔（Haier） 3匹/2匹柜式空调 定频KFR-72LW/08GDD13圆柱式柜机 KFR-50LW/08GDD13,海尔梅山专卖店,17285680154,6999.00,5999.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier） 3匹/2匹柜式空调 定频KFR-72LW/08GDD13圆柱式柜机 KFR-50LW/08GDD13 17285680154 海尔梅山专卖店 92.0kg 定频 圆柱式空调，智能空调，静音空调 冷暖空调 3匹 三级能效 30-40㎡ 立柜式空调,海尔,定频,海尔（Haier） 3匹/2匹柜式空调 定频KFR-72LW/08GDD13圆柱式柜机 KFR-50LW/08GDD13,
Haier/海尔 KFR-50LW/06BAA21AU1变频空调柜机2匹冷暖立式空调 金色,海尔格欣专卖店,17813322850,15999.00,11999.00,0,100,0,0,0,,海尔（Haier） Haier/海尔 KFR-50LW/06BAA21AU1变频空调柜机2匹冷暖立式空调 金色 17813322850 海尔格欣专卖店 53.0kg 中国大陆 变频 冷暖空调 圆柱式空调 金色 2匹 一级能效 20-30㎡ 立柜式空调,海尔,变频,Haier/海尔 KFR-50LW/06BAA21AU1变频空调柜机2匹冷暖立式空调 金色,
海尔(Haier)3匹自清洁圆柱柜机变频空调 KFR-72LW/12CAA22AU1,海尔隆阳专卖店,11441233071,9099.00,9099.00,1,100,1,0,0,,海尔（Haier） 海尔(Haier)3匹自清洁圆柱柜机变频空调 KFR-72LW/12CAA22AU1 11441233071 海尔隆阳专卖店 85.0kg 中国大陆 变频 冷暖空调 变频空调 白色 3匹 二级能效 30-40㎡ 立柜式空调,海尔,变频,海尔(Haier)3匹自清洁圆柱柜机变频空调 KFR-72LW/12CAA22AU1,
海信（Hisense） 3匹 男神空调KFR-72LW/A8X600Z-A1(2N30) 金色,海信官方旗舰店,19284299452,11999.00,10599.00,0,100,0,0,0,,海信（Hisense） 海信（Hisense） 3匹 男神空调KFR-72LW/A8X600Z-A1(2N30) 金色 19284299452 海信官方旗舰店 32.0kg 变频 冷暖空调 3匹 30-40㎡ 立柜式空调,海信,变频,海信（Hisense） 3匹 男神空调KFR-72LW/A8X600Z-A1(2N30) 金色,
海信（Hisense） 3匹变频圆柱 KFR-72LW/A8K800Z-A1(2N24) 白色,汇赚全专营店,16876590837,9299.00,8599.00,0,100,0,0,0,,海信（Hisense） 海信（Hisense） 3匹变频圆柱 KFR-72LW/A8K800Z-A1(2N24) 白色 16876590837 汇赚全专营店 32.0kg 中国大陆 变频 冷暖空调 变频空调 白色 3匹 一级能效 30-40㎡ 立柜式空调,海信,变频,海信（Hisense） 3匹变频圆柱 KFR-72LW/A8K800Z-A1(2N24) 白色,
长虹（CHANGHONG） 大3匹 二级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-72LW/ZDKIZ(W1-H)+A2,长虹同望专卖店,18030562902,7090.00,6590.00,0,100,0,0,0,,长虹（CHANGHONG） 长虹（CHANGHONG） 大3匹 二级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-72LW/ZDKIZ(W1-H)+A2 18030562902 长虹同望专卖店 32.0kg 变频 圆柱式空调，高能效空调，智能空调，变频空调，静音空调，自动清洁 冷暖空调 3匹 二级能效 30-40㎡ 立柜式空调,长虹,变频,长虹（CHANGHONG） 大3匹 二级能效 变频冷暖 智能静音立柜式空调 IZ系列 KFR-72LW/ZDKIZ(W1-H)+A2,
统帅（Leader） 海尔无氟变频柜式空调 冷暖 智能WIFI 一级能效 KFR-72LW/03ECC21ATU1,统帅蓝宝专卖店,16421246482,9299.00,7999.00,0,100,0,0,0,,统帅（Leader） 统帅（Leader） 海尔无氟变频柜式空调 冷暖 智能WIFI 一级能效 KFR-72LW/03ECC21ATU1 16421246482 统帅蓝宝专卖店 36.0kg 变频 变频空调 冷暖空调 3匹 一级能效 30-40㎡ 立柜式空调,统帅,变频,统帅（Leader） 海尔无氟变频柜式空调 冷暖 智能WIFI 一级能效 KFR-72LW/03ECC21ATU1,
三星（SAMSUNG）原装进口3匹立柜式 冷暖智能变频空调KFR-72LW/EMD1神秘黑 KFR-72LW/EMD1神秘黑,天下通联电器专营店,15719282235,21900.00,18498.00,0,100,0,0,0,,三星（SAMSUNG） 三星（SAMSUNG）原装进口3匹立柜式 冷暖智能变频空调KFR-72LW/EMD1神秘黑 KFR-72LW/EMD1神秘黑 15719282235 天下通联电器专营店 115.0kg 韩国 300002 变频 冷暖空调 圆柱式空调，变频空调 其他 3匹 一级能效 40㎡以上 立柜式空调,三星,变频,三星（SAMSUNG）原装进口3匹立柜式 冷暖智能变频空调KFR-72LW/EMD1神秘黑 KFR-72LW/EMD1神秘黑,
海尔（Haier）KFR-50/72LW/08EAC13立柜式冷暖空调帝樽3匹 3匹 KFR-72LW/08EAC13,海尔新疆华越专卖店,12529884678,8799.00,6699.00,0,100,0,0,0,,海尔（Haier） 海尔（Haier）KFR-50/72LW/08EAC13立柜式冷暖空调帝樽3匹 3匹 KFR-72LW/08EAC13 12529884678 海尔新疆华越专卖店 95.0kg 中国大陆  KFR-50/72LW/08EAC13 定频 冷暖空调 圆柱式空调 其他 3匹 三级能效 40㎡以上 立柜式空调,海尔,定频,海尔（Haier）KFR-50/72LW/08EAC13立柜式冷暖空调帝樽3匹 3匹 KFR-72LW/08EAC13,
美的（Midea） 无氟直流变频 二级能效 冷暖空调智行 圆柱空调 KFR-72LW/BP2DN1Y-YA400(B2 变频柜机,美的空调浙江正美专卖店,11390269806,8699.00,8399.00,0,100,0,0,0,,美的（Midea） 美的（Midea） 无氟直流变频 二级能效 冷暖空调智行 圆柱空调 KFR-72LW/BP2DN1Y-YA400(B2 变频柜机 11390269806 美的空调浙江正美专卖店 99.0kg 中国大陆 变频 冷暖空调 变频空调 其他 2匹 二级能效 20-30㎡ 立柜式空调,美的,变频,美的（Midea） 无氟直流变频 二级能效 冷暖空调智行 圆柱空调 KFR-72LW/BP2DN1Y-YA400(B2 变频柜机,
